line,name,하차총승객수,gu_name,dong_name,full_name
신분당선,양재,0.0,서초구,양재1동,서울특별시 서초구 양재1동
신분당선,청계산입구,0.0,서초구,양재2동,서울특별시 서초구 양재2동
우이신설경전철,북한산우이,77324.26470588235,강북구,우이동,서울특별시 강북구 우이동
우이신설경전철,솔밭공원,60146.08823529412,강북구,우이동,서울특별시 강북구 우이동
우이신설경전철,419민주묘지,0.0,강북구,우이동,서울특별시 강북구 우이동
우이신설경전철,가오리,102873.94117647059,강북구,수유2동,서울특별시 강북구 수유2동
우이신설경전철,삼양사거리,63999.794117647056,강북구,송천동,서울특별시 강북구 송천동
우이신설경전철,솔샘,133393.38235294117,강북구,삼양동,서울특별시 강북구 삼양동
우이신설경전철,북한산보국문,144812.9705882353,성북구,정릉4동,서울특별시 성북구 정릉4동
우이신설경전철,정릉,106444.23529411765,성북구,정릉1동,서울특별시 성북구 정릉1동
우이신설경전철,성신여대입구,0.0,성북구,삼선동,서울특별시 성북구 삼선동
우이신설경전철,보문,210859.64705882352,성북구,보문동,서울특별시 성북구 보문동
우이신설경전철,신설동,489733.35294117645,동대문구,용신동,서울특별시 동대문구 용신동
우이신설경전철,화계,81119.94117647059,강북구,인수동,서울특별시 강북구 인수동
우이신설경전철,삼양,55272.44117647059,강북구,삼양동,서울특별시 강북구 삼양동
